Count_FilteredNuclei,Count_Nuclei,Count_NucleiShrink,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_13IdentifyPrimaryObjects,ExecutionTime_15MeasureObjectSizeShape,ExecutionTime_16FilterObjects,ExecutionTime_17EnhanceOrSuppressFeatures,FileName_DNA,FileName_Denritic,Frame_DNA,Frame_Denritic,Group_Index,Group_Number,Height_DNA,Height_Denritic,ImageNumber,MD5Digest_DNA,MD5Digest_Denritic,Mean_FilteredNuclei_ObjectSkeleton_NumberBranchEnds_denSkel,Mean_FilteredNuclei_ObjectSkeleton_NumberNonTrunkBranches_denSkel,Mean_FilteredNuclei_ObjectSkeleton_NumberTrunks_denSkel,Mean_FilteredNuclei_ObjectSkeleton_TotalObjectSkeletonLength_denSkel,Mean_NucleiShrink_Location_Center_X,Mean_NucleiShrink_Location_Center_Y,Mean_NucleiShrink_Location_Center_Z,Mean_Nuclei_Location_Center_X,Mean_Nuclei_Location_Center_Y,Mean_Nuclei_Location_Center_Z,Median_FilteredNuclei_ObjectSkeleton_NumberBranchEnds_denSkel,Median_FilteredNuclei_ObjectSkeleton_NumberNonTrunkBranches_denSkel,Median_FilteredNuclei_ObjectSkeleton_NumberTrunks_denSkel,Median_FilteredNuclei_ObjectSkeleton_TotalObjectSkeletonLength_denSkel,Median_NucleiShrink_Location_Center_X,Median_NucleiShrink_Location_Center_Y,Median_NucleiShrink_Location_Center_Z,Median_Nuclei_Location_Center_X,Median_Nuclei_Location_Center_Y,Median_Nuclei_Location_Center_Z,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_13IdentifyPrimaryObjects,ModuleError_15MeasureObjectSizeShape,ModuleError_16FilterObjects,ModuleError_17EnhanceOrSuppressFeatures,PathName_DNA,PathName_Denritic,Scaling_DNA,Scaling_Denritic,Series_DNA,Series_Denritic,Threshold_FinalThreshold_Nuclei,Threshold_FinalThreshold_NucleiShrink,Threshold_OrigThreshold_Nuclei,Threshold_OrigThreshold_NucleiShrink,Threshold_SumOfEntropies_Nuclei,Threshold_SumOfEntropies_NucleiShrink,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_NucleiShrink,URL_DNA,URL_Denritic,Width_DNA,Width_Denritic
779.0,779.0,17.0,0.0,0.0,1.25,0.009999999999999787,5.449999999999999,10.42,0.5700000000000003,0.8900000000000006,A_10_ICC_s00_RAW_ch02.tif_cl.png,A_10_ICC_s00_RAW_ch00.tif_cl.png,0,0,1,1,2048,2048,1,16f77ccec18e8d5fb7e2c604dc9c3adb,f741091bbded600dbbc06676b3e48b45,1.6213093709884467,0.6585365853658537,3.9127086007702183,38.70085675564902,1381.28128342246,998.9048128342246,0.0,1028.921641341658,971.9613058037377,0.0,1.0,0.0,3.0,18.48528152704239,1675.5,1234.5,0.0,921.9617486338798,992.7339449541284,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.18594412505626678,0.5,0.18594413,0.5,-10.429342580728742,-7.31585852822721,0.3140518387224027,0.2978455744096624,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s00_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s00_RAW_ch00.tif_cl.png,2048,2048
181.0,181.0,2.0,0.0,0.0,1.3699999999999997,0.0,6.0299999999999985,15.7,0.9100000000000001,1.6600000000000001,A_10_ICC_s01_RAW_ch02.tif_cl.png,A_10_ICC_s01_RAW_ch00.tif_cl.png,0,0,2,1,2048,2048,2,a46d203bb97676dc2bdd7dcd40cb43f3,387e187d9716b727f1483f42efd6c5a4,1.988950276243094,0.6298342541436464,2.0939226519337018,46.03834379476737,1814.7333333333333,195.53333333333333,0.0,1002.8685463489003,438.97620447198796,0.0,2.0,0.0,2.0,28.798990309238434,1814.7333333333333,195.53333333333333,0.0,1066.8545994065282,433.86567164179104,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.06440137326717377,0.5,0.06440137,0.5,-11.642015489517114,-7.897932266959646,0.15890065598222688,0.19712716558579452,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s01_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s01_RAW_ch00.tif_cl.png,2048,2048
28.0,28.0,0.0,0.0,0.0,1.5,0.0,5.39,15.320000000000002,0.7699999999999996,1.6400000000000006,A_10_ICC_s02_RAW_ch02.tif_cl.png,A_10_ICC_s02_RAW_ch00.tif_cl.png,0,0,3,1,2048,2048,3,4c3057d97485361b39b10aa04f82fb1b,f3284fa785e67e55c25d9a9e9293ffb6,2.0714285714285716,1.25,1.3571428571428572,75.04511544108391,nan,nan,nan,539.8340486013019,909.6986216483441,0.0,1.0,0.0,1.0,17.48528152704239,nan,nan,nan,463.29673261935017,757.8053882145789,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.1979876458644867,0.5,0.19798765,0.5,-11.287784875209656,0.0,0.5223767837739786,0.1350127953119249,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s02_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s02_RAW_ch00.tif_cl.png,2048,2048
1077.0,1077.0,20.0,0.0,0.0,1.509999999999999,0.0,7.659999999999999,19.14,1.0300000000000118,1.5100000000000051,A_10_ICC_s03_RAW_ch02.tif_cl.png,A_10_ICC_s03_RAW_ch00.tif_cl.png,0,0,4,1,2048,2048,4,f6d7bc13f4ff5f870f395e3df4cdee9c,5e1e54a3d1160358ea3fcc124dc16c9c,1.3500464252553388,0.4856081708449396,4.741875580315692,30.426472538028918,1015.75,899.7541666666666,0.0,1044.7951070028635,990.5449359479344,0.0,1.0,0.0,4.0,17.899495124816895,1261.25,831.3333333333333,0.0,1095.051948051948,962.8533653846154,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.10026440769433975,0.5,0.10026441,0.5,-10.75688181980424,-6.851076822584703,0.3898722169374196,0.34145851806344557,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s03_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s03_RAW_ch00.tif_cl.png,2048,2048
985.0,985.0,16.0,0.0,0.0,1.459999999999999,0.0,6.539999999999999,15.009999999999998,1.2199999999999989,1.629999999999999,A_10_ICC_s04_RAW_ch02.tif_cl.png,A_10_ICC_s04_RAW_ch00.tif_cl.png,0,0,5,1,2048,2048,5,1dee97c108971a3efd595d1abb57d0c8,52a5e3c0053fda084946c55c2dd530bb,1.402030456852792,0.5522842639593909,4.361421319796954,32.92352117517878,1213.095238095238,1332.7775297619046,0.0,1141.5372778492606,1141.0041816066512,0.0,1.0,0.0,4.0,20.142135739326477,1144.0833333333335,1326.0,0.0,1161.4291845493563,1173.4382716049383,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.04411442205309868,0.5,0.044114422,0.5,-10.587053905437813,-7.243224676054569,0.4731466858352178,0.39197147777466673,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s04_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s04_RAW_ch00.tif_cl.png,2048,2048
955.0,955.0,7.0,0.0,0.0,1.4299999999999997,0.0,8.079999999999998,18.690000000000005,0.9800000000000004,1.519999999999996,A_10_ICC_s05_RAW_ch02.tif_cl.png,A_10_ICC_s05_RAW_ch00.tif_cl.png,0,0,6,1,2048,2048,6,14e8aa35911c557a4c9b3e60d1c5df04,328bc58569c1a09aa4c3b79f02e4918a,1.543455497382199,0.581151832460733,4.026178010471204,34.484654441116994,1139.2142857142858,1407.6666666666667,0.0,932.4038598319377,982.8942046445974,0.0,1.0,0.0,3.0,20.313708543777466,999.0,1698.0,0.0,847.5274542429285,932.6912751677852,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.15285998582839966,0.5,0.15285999,0.5,-10.762893320946525,-6.770404601113014,0.3831973457855611,0.32071417351550574,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s05_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s05_RAW_ch00.tif_cl.png,2048,2048
33.0,33.0,0.0,0.0,0.0,0.7100000000000009,0.0,4.510000000000002,9.899999999999999,0.6799999999999997,1.7800000000000011,A_10_ICC_s06_RAW_ch02.tif_cl.png,A_10_ICC_s06_RAW_ch00.tif_cl.png,0,0,7,1,2048,2048,7,6647eea74b539ba3566864f5739cff3b,9ac4bcb83addb0d39591d0617abeb8a1,1.6666666666666667,0.3939393939393939,1.393939393939394,46.49439254854665,nan,nan,nan,1271.8495195913194,1184.503266615744,0.0,1.0,0.0,1.0,26.556349337100983,nan,nan,nan,1322.3056722689075,1423.2264150943397,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.12344980239868164,0.5,0.1234498,0.5,-11.767090177019895,0.0,0.4850388616965233,0.11120978600862846,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s06_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s06_RAW_ch00.tif_cl.png,2048,2048
953.0,953.0,15.0,0.0,0.0,1.3800000000000097,0.0,5.710000000000008,10.22999999999999,0.9400000000000119,1.509999999999991,A_10_ICC_s07_RAW_ch02.tif_cl.png,A_10_ICC_s07_RAW_ch00.tif_cl.png,0,0,8,1,2048,2048,8,834e8242613f2fe99a0c228280dc11b4,2a9ce173bed0e3037f9a8d266b05cc2e,1.3651626442812173,0.42917103882476393,4.3441762854144805,28.25273272692219,930.06,1649.5333333333333,0.0,1105.1273339765419,1258.0448951921665,0.0,1.0,0.0,3.0,16.242640912532806,931.0,1706.5,0.0,1147.181052631579,1284.3320158102767,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.08551225066184998,0.5,0.08551225,0.5,-10.870667136838943,-7.055573082630779,0.44361607701524974,0.3486153422977982,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s07_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s07_RAW_ch00.tif_cl.png,2048,2048
118.0,118.0,0.0,0.0,0.0,0.9699999999999989,0.0,4.980000000000004,10.809999999999995,0.8099999999999952,1.8799999999999955,A_10_ICC_s08_RAW_ch02.tif_cl.png,A_10_ICC_s08_RAW_ch00.tif_cl.png,0,0,9,1,2048,2048,9,5a4db4cbda53cde05881bb0ed0da589f,79d7e8d82cf48fe63bfaba7555e50e69,1.8644067796610169,0.6949152542372882,1.4745762711864407,47.46960101390289,nan,nan,nan,1075.5442517666468,1102.300422938335,0.0,1.0,0.0,1.0,19.399495273828506,nan,nan,nan,1185.4611222505773,1073.1026583845535,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.16065461933612823,0.5,0.16065462,0.5,-11.342032916693002,0.0,0.549533703597632,0.17915107824417723,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s08_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_10_ICC_s08_RAW_ch00.tif_cl.png,2048,2048
870.0,870.0,11.0,0.0,0.0,0.9099999999999966,0.0,7.060000000000002,15.65999999999999,1.1200000000000045,1.480000000000004,A_11_ICC_s00_RAW_ch02.tif_cl.png,A_11_ICC_s00_RAW_ch00.tif_cl.png,0,0,10,1,2048,2048,10,02cf112e9e47603962eb0df22a9a0f27,f7e361190d170b104e036c69bb97f333,1.4804597701149425,0.5758620689655173,4.408045977011494,33.620130596626765,1147.6363636363637,951.1818181818181,0.0,1122.592061152778,938.0361903533053,0.0,1.0,0.0,4.0,17.863961100578308,1238.0,1080.0,0.0,1093.9445885430523,920.7963452378168,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.09818575531244278,0.5,0.098185755,0.5,-10.607137138256695,-6.352956209889715,0.35105193083186137,0.32489446000086686,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s00_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s00_RAW_ch00.tif_cl.png,2048,2048
785.0,785.0,5.0,0.0,0.0,0.8999999999999986,0.0,6.289999999999999,13.639999999999986,1.1699999999999875,1.75,A_11_ICC_s01_RAW_ch02.tif_cl.png,A_11_ICC_s01_RAW_ch00.tif_cl.png,0,0,11,1,2048,2048,11,81ce388c4c119dd42a33825475268d0f,d46f6290f69fefdbda50f121d43c1a04,1.5108280254777071,0.4853503184713376,4.267515923566879,32.83418198497432,1005.0,698.0,0.0,1084.8918889704528,763.4509096314803,0.0,1.0,0.0,4.0,19.9705628156662,1341.0,607.0,0.0,1082.7924528301887,693.8211009174312,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.0714636966586113,0.5,0.0714637,0.5,-10.815264901681118,-6.35761513038092,0.49519398553249516,0.3736228184551091,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s01_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s01_RAW_ch00.tif_cl.png,2048,2048
983.0,983.0,12.0,0.0,0.0,1.1000000000000014,0.009999999999990905,7.5,15.57,1.0700000000000074,1.3900000000000006,A_11_ICC_s02_RAW_ch02.tif_cl.png,A_11_ICC_s02_RAW_ch00.tif_cl.png,0,0,12,1,2048,2048,12,66c3e5067c19563899d1972023f61872,e1defaf1f394df0f28a9b545e76216c9,1.4242115971515767,0.5625635808748728,4.645981688708036,32.90663841418308,878.0833333333334,789.5,0.0,952.7968223542991,884.6563276618567,0.0,1.0,0.0,4.0,17.313708543777466,624.5,874.5,0.0,985.1907216494845,874.305351521511,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.11337099224328995,0.5,0.11337099,0.5,-10.667731697744836,-6.357519324686212,0.35447014352118345,0.330953059779163,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s02_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s02_RAW_ch00.tif_cl.png,2048,2048
37.0,37.0,0.0,0.0,0.0,1.0799999999999983,0.0,5.430000000000007,14.399999999999999,0.6799999999999926,1.5,A_11_ICC_s03_RAW_ch02.tif_cl.png,A_11_ICC_s03_RAW_ch00.tif_cl.png,0,0,13,1,2048,2048,13,fa902553f21ad0bfaebce0a96a4b5aa6,ed45351032f22cedec55cb4c99b8696f,1.837837837837838,0.7567567567567568,1.2432432432432432,48.27719150684975,nan,nan,nan,595.7554808253083,1016.0688952037974,0.0,1.0,0.0,1.0,25.3137087225914,nan,nan,nan,567.889344262295,1104.7891373801917,0.0,nan,nan,nan,nan,0,nan,0,nan,1,1,nan,nan,1,nan,nan,nan,0,0,0,0,0,0,0,0,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,/Users/maxxim333/Desktop/herrington/05_jul/imagej_output,65535,65535,0,0,0.18378064036369324,0.5,0.18378064,0.5,-11.138599238759472,0.0,0.5523516542225906,0.10588484274563824,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s03_RAW_ch02.tif_cl.png,file:/Users/maxxim333/Desktop/herrington/05_jul/imagej_output/A_11_ICC_s03_RAW_ch00.tif_cl.png,2048,2048
